name,category,description,price,sku,image_url
MARTEL BLUE SWIFT,Cognac,,16000,,,
MARTEL VS ILTIRE,Cognac,,12000,,,
MARTINI,Vermouth,,3050,,,
MARTINI (Shot),Vermouth,,150,,,
MOET IMPERIAL,Champagne,,2500,,,
MOET NECTOR,Champagne,,9800,,,
MONKEY SHOULDER,Whisky,,7500,,,
MONSTER,Energy Drink,,350,,,
MUSCATO ROSE,Wine,,1600,,,
MYERS RUM,Rum,,3500,,,
MANYATTA,Beer,,350,,,
MALTY PINK,Other,,6500,,,
MALTY CLEAR,Other,,6000,,,
OLD SMUGGLER,Whisky,,2250,,,
OLMECA GOLD,Tequila,,4500,,,
OLMECA SILVER,Tequila,,4500,,,
OLMECA DARK CHOCOLATE,Tequila,,4500,,,
OLMECA CHOCO (Shot),Tequila,,250,,,
OLMECA CLEAR (Shot),Tequila,,200,,,
ORCHID JUICE,Juice,,320,,,
PASSION MINT,Juice,,300,,,
PASPORT SCOTCH,Whisky,,1600,,,
PASSPORT SCOTCH (Shot),Whisky,,100,,,
PILSNEE CAN,Beer,,300,,,
PILSNER LAGER,Beer,,250,,,
PLATNUM,Vodka,,1500,,,
REDBULL,Energy Drink,,350,,,
REMY MARTIN,Cognac,,13000,,,
RICHOT 350ML,Whisky,,1050,,,
RICHOT 750ML,Whisky,,2250,,,
RICHOTS TOTS (Shot),Whisky,,200,,,
ROCK SHOW,Beer,,200,,,
ROSE CUCUMBER,Other,,200,,,
SAVANA,Cider,,420,,,
SCOTCH LEADER,Whisky,,2150,,,
SHERIDANE,Liqueur,,7150,,,
SHERIDANS TOTS (Shot),Liqueur,,200,,,
SIKERA,Other,,200,,,
SINGLETON 15 YRS,Whisky,,8840,,,
SINGLETON 18 YRS,Whisky,,11700,,,
SINGLETON 1L,Whisky,,7000,,,
SINGLETON 750ML 12 YRS,Whisky,,6760,,,
SKY VODKA,Vodka,,2500,,,
SMIRNOFF 1L,Vodka,,3200,,,
SCHWEPS,Mixer,,150,,,
SMIRNOFF PINAPLE PUNCH,Vodka,,300,,,
SMIRNOFF VODKA 350ML,Vodka,,1050,,,
SMIRNOFF VODKA 750ML,Vodka,,2250,,,
S.VODKA (Shot),Vodka,,150,,,
SNAPP,Cider,,250,,,
SNAPP CAN,Cider,,300,,,
SNAPP CIDER,Cider,,350,,,
SODA 300ML,Soft Drink,,100,,,
SODA 500ML,Soft Drink,,150,,,
SPARKLING WATER 750ML,Water,,200,,,
SPARKLING WATER 500ML,Water,,150,,,
SOUTHERN COMFORT,Liqueur,,4500,,,
